page_id,img_file_name,publish_date,column_type,page_type,special_name,column_id
5aab108b7081440a77b97f6db2490fcc63df85ca87b8f53d22bf2d524bacc58f,20040305_cover.png,2004-03-05,cover,cover,,fbd2baa5e7ec0968e59377942740522937fce30fa83118f2678539f3c5f97401
a321ae394ef32d803be39a3f012697ead0aeb7b1609f199288d84d1d54633b79,20040305_p1.png,2004-03-05,standard,p1,,1b22ac83050a0f750b3c383c719171bb052230a7909f9dddafd6b84fa8eb8acb
3be1bd27cf783918cc740389b3e25ae7d56dd6bae6e5139b3214fda29f2ce0f9,20040319_p1.png,2004-03-19,standard,p1,,20919f19defa9c1680c49c94dc70c6ab4977587768de56a97b30af40134ede4a
9cbbd309dc087e09b7149394d70b762407e380c8e8c09887afc31825a8dd8937,20040402_p1.png,2004-04-02,standard,p1,,9981cd68cf0028a2576e2070566601002cc669e5b1aa5e4f9bb8bb901b18039d
0bca70b0f4c6e9d6113e95ec13c8c96c0e911c90a96a7ea29ee53ca6c4a8e899,20040416_p1.png,2004-04-16,standard,p1,,063156ad5fcffb2dbdd52b398af8b7b833e938326a1fe043f237486e9236b9ce
de9f1054619f274f75e642bf9d6cc831d299467fcc941949010b3a386c2d3c1d,20040416_p2.png,2004-04-16,standard,p2,,063156ad5fcffb2dbdd52b398af8b7b833e938326a1fe043f237486e9236b9ce
db8a551f12d0b21cfcaab7f549bc923a490cafddf9b04379b47ef982405ec926,20040430_p1.png,2004-04-30,standard,p1,,2039c9655239166df3f370ed5287853fad7a975ac11707381a5f3cdfe3dc6d83
5d28b2bcac78a3440bbf8d715ae91ba2df8956d079085c82e983c566e4c6a2c9,20040430_p2.png,2004-04-30,standard,p2,,2039c9655239166df3f370ed5287853fad7a975ac11707381a5f3cdfe3dc6d83
2cdcc02adbc2c5ab2cd34a84bbaedcce81153553ef158d5d87d0814fd936e315,20040514_p1.png,2004-05-14,standard,p1,,fffe25e1b8cd12f8aaf767a97bdaa99a93c4c9ebd391873b97e299c4152cfdfe
5ffe52bc4e040106117dc9e88ef830f8f4f871e176b1a3e17df66c14ca1e186d,20040528_p1.png,2004-05-28,standard,p1,,fa52b6808f67e7316147730247b13855d0c618311ef2eb65dee972d2cf887fa5
6798a3a8d110e2441dec393acec5ff9769bc8952a1c561bed3fd7ebf1e49143b,20040528_p2.png,2004-05-28,standard,p2,,fa52b6808f67e7316147730247b13855d0c618311ef2eb65dee972d2cf887fa5
4d5d03d71a525a4eae1b4b92d92a86a714e2c6f627c3cbc2a609bb129191e6e5,20040611_p1.png,2004-06-11,standard,p1,,c3edd2aaeaf9e47742a1bb744d6ab226f4ff93f5c70ea322d1d86802510995f4
49526128fa630a0aba0d28bf92ffb6b004effc23ced7e0a8a1e112ad4b99ff59,20040611_p2.png,2004-06-11,standard,p2,,c3edd2aaeaf9e47742a1bb744d6ab226f4ff93f5c70ea322d1d86802510995f4
70c6553d31058fa3d4073411fecb9b45f8649678ccdca38d85485e7904b77fec,20040625_p1.png,2004-06-25,standard,p1,,7b5056d63fedc0f509b0e94e4ecca23a33f5d948d6075e2df9610ac97a94a9ab
707bb93586caa742283bd2bf067ca81d4abfb99f52da999ddab9aec92c4940b6,20040625_p2.png,2004-06-25,standard,p2,,7b5056d63fedc0f509b0e94e4ecca23a33f5d948d6075e2df9610ac97a94a9ab
62108ac9108d5186abdad982d85c82ecabc1e9f715aa59cce1bb9c4a31b3e75c,20040709_p1.png,2004-07-09,standard,p1,,85cc64ab7060216bdc6c6b1f1a6dd7db9557ced77fa8c800e71fbb52a1b69349
55635bbbf602a3dbb24c5fb6367b8b580edbae5857c4a8d6cd8010c7260d3802,20040709_p2.png,2004-07-09,standard,p2,,85cc64ab7060216bdc6c6b1f1a6dd7db9557ced77fa8c800e71fbb52a1b69349
92378030a41b0fd25b31446a5ec2818d1a47ad96bd5b3894cbf1fe7a53eac574,20040723_p1.png,2004-07-23,standard,p1,,3be3b203b74c4cd42924fff41ee3a9a895fed2becaeb80d2b60c62a6c0b4c4ab
3abfde215b14130139d94c602fceebb34bf072f8c8f2dbbf412153a51fc6af05,20040723_p2.png,2004-07-23,standard,p2,,3be3b203b74c4cd42924fff41ee3a9a895fed2becaeb80d2b60c62a6c0b4c4ab
eb51067ce9832ad93800086553b97a99eb1bde1a05a5b08e9fce09cbda10e5b2,20040806_p1.png,2004-08-06,standard,p1,,c1e4289f6f67c4ffdb772813fb59def5943a98f0beec53d305156ff5673c9ce6
3e1eb23201d8630bf6e9872cd540f4a2e209d8ae516f35ada8775f99671df6da,20040820_p1.png,2004-08-20,standard,p1,,96fc8a825545ce753a890e2a16ad4bedb42fbc3fabb17eb86f0985d9c21f9a40
14cc2acde18fd19475da93b71f538b8597edf06bf4c97ea9314cecfb041cd840,20040820_p2.png,2004-08-20,standard,p2,,96fc8a825545ce753a890e2a16ad4bedb42fbc3fabb17eb86f0985d9c21f9a40
fd6f469af8b4817229ea2a3ccf1df753b1574276c2e0b7cecd1fc9db86d620d4,20040903_p1.png,2004-09-03,standard,p1,,2919c1762ae54d3b351434cfee926c3ab7a4b2d239a9ed9fd15d6164d6bc01cd
cf1e43079715173e483957dc9b0382b02a9698773ffa84af6c5ef7aed37027f5,20040903_p2.png,2004-09-03,standard,p2,,2919c1762ae54d3b351434cfee926c3ab7a4b2d239a9ed9fd15d6164d6bc01cd
aa6036c39d1938df6466d4327ed68a56ff12953db4409e009df7046cc89f9d96,20040917_p1.png,2004-09-17,standard,p1,,465dda1fc85d59c3bc4b404c32a2438f8f73b86b817c3c00f30a9c3c13e3bc08
aa31061898f58b91c5e67bae67664f7c462774e915c869901094830a9f9787a8,20040917_p2.png,2004-09-17,standard,p2,,465dda1fc85d59c3bc4b404c32a2438f8f73b86b817c3c00f30a9c3c13e3bc08
1158a5e0e61825e219160d5f72e166c362cf4edf811521bc3d5d083538a83453,20041001_p1.png,2004-10-01,standard,p1,,873c9fb9eda9dceb980d86cad00067c9f6da26cc53e5a32a52bdf0e8d83d304d
7c9781a08e66c7ac0d1193e676057b83f671a60578b86e717fafc017f32eaeaa,20041001_p2.png,2004-10-01,standard,p2,,873c9fb9eda9dceb980d86cad00067c9f6da26cc53e5a32a52bdf0e8d83d304d
8eef53932c7c44e66411c017a09d4fd4930a35814bb8bc9cb1d5a233fecbee40,20041029_p1.png,2004-10-29,standard,p1,,9cd9a9404afe21e03462cc2dce1a2fcb49ba0a49849da851630f96df0155b8ee
21ace254509b5d0abb397cc8074f7a927767206261040063520eb1113be46496,20041112_p1.png,2004-11-12,standard,p1,,0990d013413ca9ce617c32be66ab153d8b64d92e17306fc04f29ae45b1ee6728
3e65b48fee082a3dc2d4b52369a7764e3b63a6d367780cb51ec953c77c91f659,20041126_p1.png,2004-11-26,standard,p1,,f3982855d26f0a2f7eaa1fa533d2b32d2b0b60354284267feb6e703e75709684
1e950ff29612e9d22978ee745f8c97daa485f90506dae8f0100c37ac68f7412b,20041126_p2.png,2004-11-26,standard,p2,,f3982855d26f0a2f7eaa1fa533d2b32d2b0b60354284267feb6e703e75709684
b469b14ef4e07797e41696626d79c0f7453de1b165b7af0d7789098fb07c835e,20041210_p1.png,2004-12-10,standard,p1,,f2d5a9f6570aa66fcd94e7963eb7f5b322f1b480154aa8f5499e36c2f03d9e89
